name,location,cuisines,rating,approx_cost
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1,800.0
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1,800.0
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,800.0
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",3.7,300.0
Grand Village,Basavanagudi,"North Indian, Rajasthani",3.8,600.0
Timepass Dinner,Basavanagudi,North Indian,3.8,600.0
Rosewood International Hotel - Bar & Restaurant,Mysore Road,"North Indian, South Indian, Andhra, Chinese",3.6,800.0
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6,600.0
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0,700.0
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1,500.0
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2,600.0
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2,500.0
Caf-Eleven,Banashankari,"Cafe, Continental",4.0,450.0
Cafe Vivacity,Banashankari,Cafe,3.8,650.0
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800.0
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8,700.0
T3H Cafe,Banashankari,"Cafe, Italian, American",3.9,300.0
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",3.1,400.0
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",3.0,400.0
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",3.7,500.0
Cafe Coffee Day,Banashankari,"Cafe, Fast Food",3.6,900.0
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",3.6,600.0
Hide Out Cafe,Banashankari,Cafe,3.7,300.0
CAFE NOVA,Banashankari,"Cafe, Bakery",3.2,600.0
Coffee Tindi,Banashankari,"Cafe, South Indian",3.8,200.0
Sea Green Cafe,Banashankari,"Cafe, Fast Food, Beverages",3.3,500.0
Cuppa,Banashankari,"Cafe, Fast Food",3.3,550.0
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8,550.0
Redberrys,Basavanagudi,"Cafe, Italian",4.0,600.0
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",2.8,500.0
Sweet Truth,Banashankari,"Bakery, Desserts",3.9,500.0
Ovenstory Pizza,Banashankari,Pizza,3.9,750.0
Faasos,Banashankari,"North Indian, Biryani, Fast Food",4.2,500.0
Behrouz Biryani,Banashankari,Biryani,3.9,650.0
Fast And Fresh,Banashankari,"North Indian, Chinese, Fast Food",2.8,400.0
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",4.2,600.0
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",4.4,750.0
Maruthi Davangere Benne Dosa,Banashankari,South Indian,4.0,150.0
Chaatimes,Basavanagudi,"Street Food, Fast Food",3.8,200.0
Havyaka Mess,Banashankari,South Indian,3.9,300.0
McDonald's,Banashankari,"Burger, Fast Food",3.9,500.0
Domino's Pizza,Banashankari,"Pizza, Fast Food",3.9,800.0
Hotboxit,Banashankari,"North Indian, Continental, Italian",3.8,400.0
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",3.6,300.0
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",4.0,450.0
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",3.7,850.0
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",3.1,300.0
Petoo,Banashankari,North Indian,3.7,450.0
Shree Cool Point,Vijay Nagar,"Fast Food, Street Food, Beverages",4.1,150.0
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3,400.0
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",4.0,750.0
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",4.0,450.0
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,450.0
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",3.8,300.0
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800.0
Five Star Chicken,Banashankari,"Fast Food, Burger",3.6,200.0
XO Belgian Waffle,Banashankari,"Desserts, Beverages",3.7,400.0
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",4.2,800.0
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,800.0
